"Time period","Coal","Nuclear","CCGT","Hydro","Geothermal","Diesel"
"t425",0.00,11170.00,3368.50,703.20,0.00,0.00
"t426",0.00,11170.00,5307.50,703.20,0.00,0.00
"t427",0.00,11170.00,8153.20,703.20,0.00,0.00
"t428",0.00,11170.00,10044.20,703.20,0.00,0.00
"t429",0.00,11170.00,12170.10,703.20,0.00,0.00
"t430",0.00,11170.00,14761.50,703.20,0.00,0.00
"t431",0.00,11170.00,16594.60,703.20,0.00,0.00
"t432",0.00,11170.00,16172.60,703.20,0.00,0.00
"t433",0.00,11170.00,15978.20,703.20,0.00,0.00
"t434",0.00,11170.00,15655.40,703.20,0.00,0.00
"t435",0.00,11170.00,15406.60,703.20,0.00,0.00
"t436",0.00,11170.00,15412.00,703.20,0.00,0.00
"t437",0.00,11170.00,16298.40,703.20,0.00,0.00
"t438",0.00,11170.00,18249.80,703.20,0.00,0.00
"t439",936.60,11170.00,19800.00,703.20,0.00,0.00
"t440",2290.80,11170.00,19800.00,703.20,0.00,0.00
"t441",1435.80,11170.00,19800.00,703.20,0.00,0.00
"t442",0.00,11170.00,18900.00,703.20,0.00,0.00
"t443",0.00,11170.00,16081.40,703.20,0.00,0.00
"t444",0.00,11170.00,13721.40,703.20,0.00,0.00
"t445",0.00,11170.00,11692.30,703.20,0.00,0.00
"t446",0.00,11170.00,9959.10,703.20,0.00,0.00
"t447",0.00,11170.00,6161.70,703.20,0.00,0.00
"t448",0.00,11170.00,2537.60,703.20,0.00,0.00
"t449",0.00,11170.00,1893.20,703.20,0.00,0.00
"t450",0.00,11170.00,3063.30,703.20,0.00,0.00
"t451",0.00,11170.00,4893.60,703.20,0.00,0.00
"t452",0.00,11170.00,5858.60,703.20,0.00,0.00
"t453",0.00,11170.00,7680.60,703.20,0.00,0.00
"t454",0.00,11170.00,9761.90,703.20,0.00,0.00
"t455",0.00,11170.00,10527.80,703.20,0.00,0.00
"t456",0.00,11170.00,9943.00,703.20,0.00,0.00
"t457",0.00,11170.00,9966.60,703.20,0.00,0.00
